Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;WR Player1;Tournament;Match;Round;WR Player2;Interval;Player2;#Rounds;Play R or L Player1;Country Player1;Country Player2;Rally Time;Play R or L Player2;Player1;Set;Field Position;Player on C1;Type of service;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Tipo de recepcion;Reves;Match Duration
Akane Yamaguchi;"-9;-14";5;7;4;723520;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
An Se Young;"-15;54 (1)";5;8;9;724560;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Attack;;;;;;
Akane Yamaguchi;"7;-31";5;9;5;725280;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
An Se Young;"3;10";5;10;3;726200;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;3;;;Construccion;;;;;;
Akane Yamaguchi;"0;2";5;11;3;727120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;NET;;;Construccion;Unforced An Se Young;;;;;
An Se Young;Rest Time (4);5;;;729120;14320;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (5);6;;;743440;11720;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"-2;-31 (1)";6;1;7;741440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"11;54";6;2;12;744000;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
Akane Yamaguchi;"10;-35";6;3;5;744560;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
An Se Young;"5;29";6;4;7;745160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;;;Construccion;;;;;;
Akane Yamaguchi;"3;-16";6;5;2;746200;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;2;;;Construccion;;;;;;
An Se Young;"-14;54 (3)";6;6;9;747240;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-14;-54 (1)";6;7;12;748120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"-13;10";6;8;1;749160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
Akane Yamaguchi;"-12;-54 (2)";6;9;12;750960;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-15;31";6;10;5;751560;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
