Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Barrido Fuerte;Game Phase;Reves;Tipo de recepcion;Match Duration
Clara Azurmendi;"-3;-52 (1)";5;7;11;117400;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;11;;;;;;;Attack;;;
Beiwen Zhang;"-3;37 (1)";5;8;6;118866;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;6;;;;;;;Defence;;;
Clara Azurmendi;"22;-21 (1)";5;9;Out;119266;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;OUT SIDE;;;;Error Beiwen Zhang;;;Construccion;;;
Beiwen Zhang;Rest Time (5);5;;;122700;13800;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;;2;1;Spain Masters 2023;40;21;;;;;;Rest Time;;;;;
Beiwen Zhang;Rally Time (6);6;;;136500;5566;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;;;;;;;;;;;
Clara Azurmendi;"-3;-25 (1)";6;1;7;134500;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;7;Clara Azurmendi;Backhand short service;7;;;;Construccion;;;
Beiwen Zhang;"9;16 (2)";6;2;4;135533;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Construccion;;;
Clara Azurmendi;"10;-6 (2)";6;3;1;135533;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;1;;;;;;;Construccion;;;
Beiwen Zhang;"13;6 (1)";6;4;4;135533;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Defence;;;
Clara Azurmendi;"13;-54 (1)";6;5;9;138233;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Attack;;;
