Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration
Pusharla V Shindu;"-12;-61 (1)";6;9;12;415640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;OUT LENGTH;;;;Construccion;;Unforced Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (6);6;;;419760;14640;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (7);7;;;434400;13760;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-2;-25 (1)";7;1;7;432400;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Backhand short service;3;Construccion;;;;;;
Clara Azurmendi;"9;19 (1)";7;2;4;433280;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;Finta;;
Pusharla V Shindu;"12;-54 (1)";7;3;9;433560;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-15;35 (1)";7;4;5;433560;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Pusharla V Shindu;"-12;-8 (1)";7;5;4;434640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"-14;55 (2)";7;6;9;434640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"-4;-15 (1)";7;7;3;437080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;3;;;;Construccion;;;;;;
Clara Azurmendi;"-13;13 (1)";7;8;1;437080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;-55 (2)";7;9;12;437080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Construccion;;;;;;
Clara Azurmendi;"-13;10 (1)";7;10;1;437080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;-8 (1)";7;11;4;437080;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Defence;;;;;;
Clara Azurmendi;"-14;55 (3)";7;12;9;441840;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Pusharla V Shindu;"-13;-16 (1)";7;13;4;441840;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"11;54 (1)";7;14;12;441840;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Pusharla V Shindu;"15;-46 (1)";7;15;5;445200;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (7);7;;;448160;16360;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (8);8;;;464520;4360;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;25 (1)";8;1;6;462520;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;4;Construccion;;;;;;
Pusharla V Shindu;"15;-17 (1)";8;2;1;463640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Clara Azurmendi;"-14;54 (1)";8;3;9;463640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;-37 (1)";8;4;8;463640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;8;;;;Construccion;;;;;;
Clara Azurmendi;"-13;13 (2)";8;5;1;463640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Pusharla V Shindu;"-1;1 (1)";8;6;2;466040;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Error Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (8);8;;;468880;15440;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (9);9;;;484320;9600;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"3;-25 (1)";9;1;6;482320;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;5;Construccion;;;;;;
Clara Azurmendi;"-2;16 (1)";9;2;2;483240;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;Modificada;;
Pusharla V Shindu;"13;-55 (2)";9;3;9;483360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;27 (1)";9;4;5;483360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;5;;;;Construccion;;;;;;
Pusharla V Shindu;"15;-55 (1)";9;5;9;483360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
