Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Match Duration;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Game Phase;Barrido Fuerte;Reves;Tipo de recepcion
Fitriani Fitriani;"13;-36 (1)";8;5;5;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"-11;14 (1)";8;6;1;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Fitriani Fitriani;"13;-12 (1)";8;7;1;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"9;54 (1)";8;8;12;125666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Fitriani Fitriani;"13;-36 (2)";8;9;5;128300;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;5;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"10;13 (1)";8;10;4;128866;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Defence;;;
Fitriani Fitriani;"-10;-53 (1)";8;11;12;130433;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;56 (1)";8;12;9;130433;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Defence;;Reves;
Fitriani Fitriani;"-3;-56 (1)";8;13;11;131866;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;11;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"14;55 (1)";8;14;12;131866;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Attack;;;
Fitriani Fitriani;"-15;-26 (1)";8;15;8;135033;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;8;;;;Winner Mutiara Ayu Puspitasar;;Construccion;;;
Mutiara Ayu Puspitasar;Rest Time (8);8;;;137500;6066;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;;1;1;Akmil Open 2021;40;430;;;;;;Rest Time;;;;
Mutiara Ayu Puspitasar;Rally Time (9);9;;;143566;11033;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;;;;;;;;;;
Mutiara Ayu Puspitasar;"2;25 (2)";9;1;7;141566;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;7;Mutiara Ayu Puspitasar;Backhand short service;2;;;Construccion;;;Modificada/Finta
Fitriani Fitriani;"13;56 (1)";9;2;12;142666;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Defence;;;
Mutiara Ayu Puspitasar;"14;-15 (1)";9;3;1;143633;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;1;;;;;;Defence;;;
Fitriani Fitriani;"11;11 (1)";9;4;4;144700;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;4;;;;;;Construccion;;;
Mutiara Ayu Puspitasar;"-14;-55 (1)";9;5;12;144700;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;12;;;;;;Defence;;;
Fitriani Fitriani;"-14;55 (3)";9;6;9;146966;4000;5;INA;INA;Before;Fitriani Fitriani-Mutiara Ayu Puspitasar;Match Duration;Right handed;Right handed;Fitriani Fitriani;Mutiara Ayu Puspitasar;Rally Time;1;1;Akmil Open 2021;40;430;9;;;;;;Construccion;;;
