Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Leonice Huet;"14;-55 (1)";9;2;9;478880;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;9;;;;Construccion;;;;;;
Maria Ulitina;"-14;17 (1)";9;3;1;478880;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;1;;;;Defence;;;;;;
Leonice Huet;"12;-54 (1)";9;4;9;479800;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;9;;;;Attack;;;;;;
Maria Ulitina;"12;35 (1)";9;5;8;480840;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;8;;;;Defence;;;;;;
Leonice Huet;"-14;-17 (1)";9;6;4;481440;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;4;;;;Defence;;;;;;
Maria Ulitina;"-14;2 (1)";9;7;1;482480;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;NET;;;;Construccion;Error Leonice Huet;;;;;
Leonice Huet;Rest Time (9);9;;;485480;15200;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;;1;1;Indonesia Master 2021;84;69;;;;;;;Rest Time;;;;
Leonice Huet;Rally Time (10);10;;;500680;6680;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;;;;;;;;;;;
Maria Ulitina;"2;25 (1)";10;1;7;498680;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;7;Maria Ulitina;Forehand long service;9;Construccion;;;;;;
Leonice Huet;"-5;-55 (2)";10;2;11;500800;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;11;;;;Construccion;;;;;;
Maria Ulitina;"12;26 (1)";10;3;8;500800;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;8;;;;Defence;;;;;;
Leonice Huet;"14;-16 (1)";10;4;1;501440;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;1;;;;Defence;;;;;;
Maria Ulitina;"14;54 (4)";10;5;12;503120;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Attack;;;;;;
Leonice Huet;"-15;-29 (1)";10;6;8;505040;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;8;;;;Construccion;Winner Maria Ulitina;;;;;
Leonice Huet;Rest Time (10);10;;;507360;15240;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;;1;1;Indonesia Master 2021;84;69;;;;;;;Rest Time;;;;
Leonice Huet;Rally Time (11);11;;;522600;8120;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;;;;;;;;;;;
Maria Ulitina;"-2;24 (1)";11;1;6;520600;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;6;Maria Ulitina;Forehand long service;10;Construccion;;;;;;
Leonice Huet;"10;-54 (1)";11;2;9;522720;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;9;;;;Attack;;;;;;
Maria Ulitina;"-15;37 (1)";11;3;5;522680;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;5;;;;Defence;;;;;;
Leonice Huet;"13;-54 (2)";11;4;9;523280;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;9;;;;Construccion;;;;;;
Maria Ulitina;"-11;15 (1)";11;5;1;523280;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;1;;;;Defence;;;;;;
Leonice Huet;"2;-6 (1)";11;6;2;525240;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;2;;;;Construccion;;;;;;
Maria Ulitina;"3;6 (1)";11;7;3;525240;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;3;;;;Construccion;;;;;;
Leonice Huet;"-1;-60 (1)";11;8;11;525240;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;OUT LENGTH;;;;Construccion;Unforced Maria Ulitina;;;;;
Leonice Huet;Rest Time (11);11;;;530720;14640;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;;1;1;Indonesia Master 2021;84;69;;;;;;;Rest Time;;;;
Leonice Huet;Rally Time (12);12;;;545360;4240;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;;;;;;;;;;;
Leonice Huet;"-2;-26 (1)";12;1;7;543360;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;7;Leonice Huet;Forehand long service;10;Construccion;;;;;;
Maria Ulitina;"10;57 (1)";12;2;12;545520;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Construccion;;;;;;
Leonice Huet;"-15;-53 (1)";12;3;12;545520;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;12;;;;Attack;;;;;;
Maria Ulitina;"-15;35 (1)";12;4;5;546880;4000;5;UKR;FRA;Before;Maria Ulitina-Leonice Huet;Right handed;Right handed;Maria Ulitina;Leonice Huet;Rally Time;1;1;Indonesia Master 2021;84;69;5;;;;Defence;;;;;;
