Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Reves;Match Duration
Leonice Huet;"15;-45 (1)";4;15;5;383560;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;5;;;;;Construccion;Winner Line Christophersen;;;;
Line Christophersen;Rest Time (4);4;;;386360;19240;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Line Christophersen;Rally Time (5);5;;;405600;8200;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"2;25 (2)";5;1;7;403600;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;Line Christophersen;Backhand short service;4;;Construccion;;;;;
Leonice Huet;"-14;-18 (1)";5;2;4;404560;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Construccion;;;;;
Line Christophersen;"12;15 (1)";5;3;4;404560;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Defence;;;;;
Leonice Huet;"12;-8 (1)";5;4;1;405400;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Construccion;;;;;
Line Christophersen;"13;55 (2)";5;5;12;405400;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Attack;;;;;
Leonice Huet;"-4;-36 (1)";5;6;7;408040;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;;;;;Defence;;;;;
Line Christophersen;"-12;14 (1)";5;7;1;408080;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Defence;;;;;
Leonice Huet;"13;-55 (1)";5;8;9;408720;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Attack;;;;;
Line Christophersen;"-4;35 (1)";5;9;6;409800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;;;;;Defence;;;;;
Leonice Huet;"-14;-30 (1)";5;10;8;410240;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;8;;;;;Defence;;;;;
Line Christophersen;"-15;1 (1)";5;11;1;411080;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;NET;;;;;Construccion;Error Leonice Huet;;;;
Leonice Huet;Rest Time (5);5;;;413800;22120;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Leonice Huet;Rally Time (6);6;;;435920;1040;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"-2;25 (2)";6;1;6;433920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;Line Christophersen;Backhand short service;5;;Construccion;;;;;
Leonice Huet;"0;1 (1)";6;2;3;434920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;NET;;;;;Construccion;Unforced Line Christophersen;;;;
Leonice Huet;Rest Time (6);6;;;436960;11960;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Leonice Huet;Rally Time (7);7;;;448920;3680;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Leonice Huet;"2;-25 (1)";7;1;6;446920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;Leonice Huet;Forehand short service;6;;Construccion;;;;;
Line Christophersen;"-4;19 (1)";7;2;2;447960;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;2;;;;Modificada/Finta;Construccion;;;;;
Leonice Huet;"-14;-56 (3)";7;3;12;448360;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;;;
Line Christophersen;"-15;54 (1)";7;4;9;449080;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Attack;;;;;
Leonice Huet;"-16;-47 (1)";7;5;8;450160;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;8;;;;;Construccion;Winner Line Christophersen;;;;
Line Christophersen;Rest Time (7);7;;;452600;12280;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Line Christophersen;Rally Time (8);8;;;464880;13400;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"2;26 (1)";8;1;7;462880;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;Line Christophersen;Backhand flick;11;;Construccion;;;;;
Leonice Huet;"-15;-55 (1)";8;2;12;464240;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Attack;;;;;
Line Christophersen;"15;37 (1)";8;3;8;465040;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;8;;;;;Defence;;;;;
Leonice Huet;"10;-12 (1)";8;4;1;464920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Defence;;;;;
Line Christophersen;"13;56 (2)";8;5;12;465800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Construccion;;;;;
Leonice Huet;"-15;-55 (2)";8;6;12;465800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;;;
Line Christophersen;"-10;6 (1)";8;7;1;468800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Construccion;;;;;
Leonice Huet;"-13;-14 (1)";8;8;4;468800;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Defence;;;;;
Line Christophersen;"13;56 (3)";8;9;12;470640;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Attack;;;;;
Leonice Huet;"13;-38 (1)";8;10;5;471680;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;5;;;;;Defence;;;;;
Line Christophersen;"13;12 (1)";8;11;4;472240;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Construccion;;;;;
Leonice Huet;"13;-14 (1)";8;12;1;472240;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Defence;;;;;
Line Christophersen;"-4;54 (1)";8;13;10;474120;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;10;;;;;Attack;;;;;
Leonice Huet;"-3;-39 (1)";8;14;7;475720;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;;;;;Construccion;Winner Line Christophersen;;;;
Leonice Huet;Rest Time (8);8;;;478280;16040;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Leonice Huet;Rally Time (9);9;;;494320;9200;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"-2;24 (1)";9;1;6;492320;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;6;Line Christophersen;Backhand flick;10;;Construccion;;;;;
Leonice Huet;"9;-53 (1)";9;2;9;493480;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Attack;;;;;
Line Christophersen;"13;34 (1)";9;3;8;493560;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;8;;;;;Defence;;;;;
Leonice Huet;"14;-16 (1)";9;4;1;494160;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;1;;;;;Construccion;;;;;
Line Christophersen;"13;8 (1)";9;5;4;494160;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Defence;;;;;
Leonice Huet;"12;-55 (1)";9;6;9;496040;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Construccion;;;;;
Line Christophersen;"-13;55 (4)";9;7;9;496040;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Defence;;;;;
Leonice Huet;"-12;-55 (1)";9;8;12;498880;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Construccion;;;;;
Line Christophersen;"20;52 (1)";9;9;Out;498880;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;OUT SIDE;;;;;Construccion;Unforced Leonice Huet;;;;
Leonice Huet;Rest Time (9);9;;;503520;13920;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;;3;1;Denmark Master 2021;24;74;;;;;;;;Rest Time;;;
Leonice Huet;Rally Time (10);10;;;517440;5200;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;;;;;;;;;;;
Line Christophersen;"2;25 (3)";10;1;7;515440;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;Line Christophersen;Backhand short service;8;;Construccion;;;;;
Leonice Huet;"-14;-19 (1)";10;2;4;516320;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Construccion;;;;;
