Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Natsuki Nidaira;"-13;-38 (1)";7;10;8;158400;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;8;;;;Construccion;;;;;;
Clara Azurmendi;"-14;8 (1)";7;11;1;158400;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Natsuki Nidaira;"14;-53 (1)";7;12;9;158400;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Defence;;;;;;
Clara Azurmendi;"10;55 (1)";7;13;12;160833;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Natsuki Nidaira;"12;-55 (2)";7;14;9;160833;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Defence;;;;;;
Clara Azurmendi;"13;54 (2)";7;15;12;163966;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Natsuki Nidaira;"-13;-16 (1)";7;16;4;163966;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;4;;;;Construccion;Winner Clara Azurmendi;;;;;
Natsuki Nidaira;Rest Time (7);7;;;167266;23733;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
Natsuki Nidaira;Rally Time (8);8;;;191000;25600;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Clara Azurmendi;"2;25 (1)";8;1;7;189000;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;7;Clara Azurmendi;Backhand short service;8;Construccion;;;;;;
Natsuki Nidaira;"-14;-16 (1)";8;2;4;190300;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;4;;;;Construccion;;;;;;
Clara Azurmendi;"-14;10 (1)";8;3;1;190300;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Defence;;;;;;
Natsuki Nidaira;"12;-54 (1)";8;4;9;191866;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
